date,bullish_prob,bearish_prob,net_prob,mean_drift
2023-04-30,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.240873137115983
2023-05-01,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.2325516022403264
2023-05-02,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.234489308890749
2023-05-03,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.678345254530793
2023-05-04,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.849641648898713
2023-05-05,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.7851392262555437
2023-05-06,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.582489748111749
2023-05-07,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.0172575372403365
2023-05-08,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.7276623637769455
2023-05-09,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.0619286187459926
2023-05-10,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.4764465912044584
2023-05-11,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.2124030117002427
2023-05-12,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.984458041138074
2023-05-13,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-2.9859929743332585
2023-05-14,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.0690104385411665
2023-05-15,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.158509489074943
2023-05-16,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.4187228309677606
2023-05-17,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.462037620811619
2023-05-18,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.5028105498105204
2023-05-19,0.0,1.0,-1.0,-3.9605178142959248
2023-05-20,0.0,1.0,-1.0,-3.991555980433238
2023-05-21,0.0,1.0,-1.0,-4.185652219202216
2023-05-22,0.0,1.0,-1.0,-4.107240781055549
2023-05-23,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.6195886543921616
2023-05-24,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.226130829085843
2023-06-14,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.8550021122412033
2023-06-15,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-3.793309875173746
2023-06-16,0.0,1.0,-1.0,-4.400735425666643
2023-06-17,0.0,1.0,-1.0,-4.145686056725842
2023-06-18,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-13.663025817145476
2023-06-19,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-13.654063186094705
2023-06-20,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-14.193340091270414
2023-06-21,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-14.350790273391254
2023-06-22,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-14.050965825450165
2023-06-23,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-14.160107741681854
2023-06-24,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-3.993707686555181
2023-06-25,0.5,0.5,0.0,-3.880519439262726
2023-06-26,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-4.206470711831257
2023-06-27,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.122922134388042
2023-06-28,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-4.740411499270555
2023-06-29,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.407135831201487
2023-06-30,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.249471838471522
2023-07-01,0.5,0.5,0.0,-4.118937790927386
2023-07-02,0.5,0.5,0.0,-4.080802929123944
2023-07-03,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.426076356217358
2023-07-04,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.433136130620898
2023-07-05,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.318050066184322
2023-07-06,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.80433261369636
2023-07-07,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.608390627161913
2023-07-08,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.787359395752245
2023-07-09,0.5,0.5,0.0,-4.468541321208712
2023-07-10,0.5,0.5,0.0,-4.532378383751781
2023-07-11,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-4.640562826648605
2023-07-12,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-4.813215345545905
2023-07-13,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-4.967152491436327
2023-07-14,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.281027147656869
2023-07-15,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.224616661171638
2023-07-16,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.089243748891466
2023-07-17,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.033187076962357
2023-08-01,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.78145936064393
2023-08-02,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-6.038506148444683
2023-08-03,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.753128193291853
2023-08-04,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-5.850395538291072
2023-08-05,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-6.235208237116681
2023-08-06,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-16.699254451122382
2023-08-07,0.16666666666666666,0.6666666666666666,-0.5,-46.18713542665632
2023-08-08,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-34.42585980917574
2023-08-09,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-35.221288724776144
2023-08-10,0.16666666666666666,0.8333333333333334,-0.6666666666666666,-35.05317119078989
2023-08-11,0.5,0.5,0.0,-34.27565809241755
2023-08-12,0.5,0.5,0.0,-34.639932696296924
2023-08-13,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.16166708932439158
