date,bullish_prob,bearish_prob,net_prob,mean_drift
2022-05-04,1.0,0.0,1.0,6.383433333333329
2022-05-05,1.0,0.0,1.0,6.642699999999993
2022-05-06,1.0,0.0,1.0,6.567700000000002
2022-05-07,1.0,0.0,1.0,6.037099999999993
2022-05-08,1.0,0.0,1.0,6.650033333333336
2022-05-09,1.0,0.0,1.0,6.227399999999986
2022-05-10,1.0,0.0,1.0,6.047600000000003
2022-05-11,1.0,0.0,1.0,6.50559999999999
2022-05-12,1.0,0.0,1.0,6.745400000000001
2022-05-13,1.0,0.0,1.0,6.578299999999989
2022-05-14,1.0,0.0,1.0,7.324733333333334
2022-05-15,1.0,0.0,1.0,6.82863333333334
2022-05-16,1.0,0.0,1.0,6.812699999999997
2022-05-17,1.0,0.0,1.0,6.889533333333335
