horizon,lookback,alpha,train_da,test_da,test_signals
270,5,0.4,89.06574394463668,74.67018469656992,379
270,5,0.5,89.06574394463668,74.93403693931398,379
270,6,0.2,88.78116343490305,72.82321899736148,379
270,6,0.3,88.78116343490305,73.35092348284961,379
270,6,0.4,89.05817174515236,74.14248021108179,379
270,6,0.5,89.05817174515236,74.93403693931398,379
270,7,0.2,88.7040887040887,72.82321899736148,379
270,7,0.3,88.77338877338877,73.35092348284961,379
270,7,0.4,88.98128898128898,74.14248021108179,379
270,7,0.5,89.05058905058905,74.93403693931398,379
270,8,0.2,88.69625520110958,72.82321899736148,379
270,8,0.3,88.76560332871013,73.35092348284961,379
270,8,0.4,88.83495145631069,74.14248021108179,379
270,8,0.5,89.04299583911235,74.93403693931398,379
270,10,0.2,88.61111111111111,72.55936675461741,379
270,10,0.3,88.75,73.35092348284961,379
270,10,0.4,88.81944444444444,73.87862796833772,379
270,10,0.5,89.02777777777777,74.93403693931398,379
270,12,0.2,88.5952712100139,72.55936675461741,379
270,12,0.3,88.80389429763561,73.35092348284961,379
270,12,0.4,88.87343532684284,73.87862796833772,379
270,12,0.5,89.08205841446454,74.93403693931398,379
270,15,0.2,88.50174216027874,72.55936675461741,379
270,15,0.3,88.78048780487805,73.35092348284961,379
270,15,0.4,88.85017421602788,73.87862796833772,379
270,15,0.5,89.05923344947735,74.93403693931398,379
360,3,0.2,95.62569213732004,93.40369393139841,379
360,3,0.3,95.62569213732004,93.40369393139841,379
360,3,0.4,95.62569213732004,93.13984168865436,379
360,3,0.5,95.62569213732004,93.13984168865436,379
360,4,0.2,95.5703211517165,93.40369393139841,379
360,4,0.3,95.62569213732004,93.40369393139841,379
360,4,0.4,95.62569213732004,93.13984168865436,379
360,4,0.5,95.62569213732004,93.13984168865436,379
360,5,0.2,95.5703211517165,93.40369393139841,379
360,5,0.3,95.5703211517165,93.40369393139841,379
360,5,0.4,95.62569213732004,93.40369393139841,379
360,5,0.5,95.62569213732004,93.13984168865436,379
360,6,0.2,95.51495016611295,93.40369393139841,379
360,6,0.3,95.5703211517165,93.40369393139841,379
360,6,0.4,95.62569213732004,93.40369393139841,379
360,6,0.5,95.62569213732004,93.13984168865436,379
360,7,0.2,95.51495016611295,93.40369393139841,379
360,7,0.3,95.5703211517165,93.40369393139841,379
360,7,0.4,95.5703211517165,93.40369393139841,379
360,7,0.5,95.62569213732004,93.13984168865436,379
360,8,0.2,95.45957918050941,93.40369393139841,379
360,8,0.3,95.5703211517165,93.40369393139841,379
360,8,0.4,95.5703211517165,93.40369393139841,379
360,8,0.5,95.62569213732004,93.13984168865436,379
360,10,0.2,95.45706371191136,93.40369393139841,379
360,10,0.3,95.56786703601108,93.40369393139841,379
360,10,0.4,95.56786703601108,93.40369393139841,379
360,10,0.5,95.62326869806094,93.13984168865436,379
360,12,0.2,95.4520244037715,93.40369393139841,379
360,12,0.3,95.56295063782585,93.40369393139841,379
360,12,0.4,95.56295063782585,93.40369393139841,379
360,12,0.5,95.61841375485302,93.13984168865436,379
360,15,0.2,95.38888888888889,93.40369393139841,379
360,15,0.3,95.55555555555556,93.40369393139841,379
360,15,0.4,95.55555555555556,93.40369393139841,379
360,15,0.5,95.61111111111111,93.13984168865436,379
450,3,0.2,89.42148760330578,63.661202185792355,366
450,3,0.3,89.42148760330578,63.661202185792355,366
450,3,0.4,89.47658402203857,63.661202185792355,366
450,3,0.5,89.47658402203857,63.661202185792355,366
450,4,0.2,89.41565600882029,63.934426229508205,366
450,4,0.3,89.47078280044101,63.934426229508205,366
450,4,0.4,89.47078280044101,64.75409836065575,366
450,4,0.5,89.52590959206174,64.75409836065575,366
450,5,0.2,89.3546607832322,63.661202185792355,366
450,5,0.3,89.4649751792609,63.934426229508205,366
450,5,0.4,89.40981798124655,64.48087431693989,366
450,5,0.5,89.4649751792609,64.75409836065575,366
450,6,0.2,89.23841059602648,63.387978142076506,366
450,6,0.3,89.40397350993378,63.934426229508205,366
450,6,0.4,89.40397350993378,64.20765027322405,366
450,6,0.5,89.45916114790286,64.75409836065575,366
450,7,0.2,89.23246824958586,62.841530054644814,366
450,7,0.3,89.39812258420761,63.934426229508205,366
450,7,0.4,89.39812258420761,63.934426229508205,366
450,7,0.5,89.45334069574821,64.75409836065575,366
450,8,0.2,89.22651933701657,63.387978142076506,366
450,8,0.3,89.33701657458563,63.661202185792355,366
450,8,0.4,89.4475138121547,63.934426229508205,366
450,8,0.5,89.4475138121547,64.75409836065575,366
450,10,0.2,89.21460176991151,63.387978142076506,366
450,10,0.3,89.26991150442478,64.20765027322405,366
450,10,0.4,89.4358407079646,64.48087431693989,366
450,10,0.5,89.4358407079646,65.02732240437157,366
450,12,0.2,89.20265780730897,63.114754098360656,366
450,12,0.3,89.20265780730897,64.20765027322405,366
450,12,0.4,89.42414174972313,64.48087431693989,366
450,12,0.5,89.42414174972313,65.02732240437157,366
450,15,0.2,89.18469217970049,63.114754098360656,366
450,15,0.3,89.18469217970049,63.934426229508205,366
450,15,0.4,89.4065446478092,64.48087431693989,366
450,15,0.5,89.4065446478092,65.02732240437157,366
