horizon,lookback,alpha,train_da,test_da,test_signals
60,15,0.5,96.21136590229312,84.55696202531645,395
90,3,0.2,85.52164655784244,88.3248730964467,394
90,3,0.3,85.59261887863732,88.3248730964467,394
90,3,0.4,85.59261887863732,88.57868020304569,394
90,3,0.5,85.66359119943222,88.57868020304569,394
90,4,0.2,85.6534090909091,88.07106598984772,394
90,4,0.3,85.6534090909091,88.3248730964467,394
90,4,0.4,85.72443181818183,88.57868020304569,394
90,4,0.5,85.79545454545455,88.83248730964468,394
90,5,0.2,85.78535891968728,88.3248730964467,394
90,5,0.3,85.85643212508884,88.57868020304569,394
90,5,0.4,85.9275053304904,88.83248730964468,394
90,5,0.5,85.9275053304904,89.34010152284264,394
90,6,0.2,85.56187766714083,87.81725888324873,394
90,6,0.3,85.70412517780939,88.57868020304569,394
90,6,0.4,85.91749644381224,89.08629441624365,394
90,6,0.5,85.91749644381224,89.59390862944161,394
90,7,0.2,85.48042704626334,87.30964467005076,394
90,7,0.3,85.48042704626334,88.57868020304569,394
90,7,0.4,85.83629893238434,89.08629441624365,394
90,7,0.5,85.97864768683274,89.59390862944161,394
90,8,0.2,85.47008547008546,87.30964467005076,394
90,8,0.3,85.54131054131055,88.3248730964467,394
90,8,0.4,85.8974358974359,89.08629441624365,394
90,8,0.5,85.96866096866097,89.59390862944161,394
90,10,0.2,85.30670470756063,86.5482233502538,394
90,10,0.3,85.59201141226819,87.81725888324873,394
90,10,0.4,85.87731811697576,89.08629441624365,394
90,10,0.5,85.94864479315264,89.59390862944161,394
90,12,0.2,85.28571428571429,86.29441624365482,394
90,12,0.3,85.57142857142857,87.56345177664974,394
90,12,0.4,85.85714285714286,89.08629441624365,394
90,12,0.5,85.92857142857143,89.59390862944161,394
90,15,0.2,85.25411596277738,86.04060913705584,394
90,15,0.3,85.4688618468146,87.56345177664974,394
90,15,0.4,85.8267716535433,89.08629441624365,394
90,15,0.5,85.89835361488905,89.59390862944161,394
180,3,0.2,87.12759977515458,85.56962025316456,395
180,3,0.3,87.12759977515458,85.56962025316456,395
180,3,0.4,87.24002248454188,85.56962025316456,395
180,3,0.5,87.24002248454188,85.56962025316456,395
180,4,0.2,87.17660292463442,85.56962025316456,395
180,4,0.3,87.17660292463442,85.56962025316456,395
180,4,0.4,87.23284589426322,85.56962025316456,395
180,4,0.5,87.23284589426322,85.56962025316456,395
180,5,0.2,87.28193584693304,85.31645569620252,395
180,5,0.3,87.28193584693304,85.56962025316456,395
180,5,0.4,87.39448508722566,85.56962025316456,395
180,5,0.5,87.39448508722566,85.82278481012658,395
180,6,0.2,87.27477477477478,85.56962025316456,395
180,6,0.3,87.27477477477478,85.56962025316456,395
180,6,0.4,87.44369369369369,85.82278481012658,395
180,6,0.5,87.44369369369369,86.07594936708861,395
180,7,0.2,87.26760563380282,85.56962025316456,395
180,7,0.3,87.43661971830986,85.56962025316456,395
180,7,0.4,87.54929577464789,85.82278481012658,395
180,7,0.5,87.60563380281691,85.82278481012658,395
180,8,0.2,87.26042841037204,85.56962025316456,395
180,8,0.3,87.4859075535513,85.56962025316456,395
180,8,0.4,87.54227733934611,85.82278481012658,395
180,8,0.5,87.65501691093573,85.82278481012658,395
180,10,0.2,87.0840383530739,85.56962025316456,395
180,10,0.3,87.42244782853919,85.82278481012658,395
180,10,0.4,87.53525098702764,86.07594936708861,395
180,10,0.5,87.7044557247603,86.07594936708861,395
180,12,0.2,86.97123519458545,85.56962025316456,395
180,12,0.3,87.36604624929498,85.82278481012658,395
180,12,0.4,87.53525098702764,86.07594936708861,395
180,12,0.5,87.7044557247603,86.07594936708861,395
180,15,0.2,86.94915254237287,85.56962025316456,395
180,15,0.3,87.28813559322035,85.82278481012658,395
180,15,0.4,87.57062146892656,86.07594936708861,395
180,15,0.5,87.74011299435028,86.07594936708861,395
270,3,0.2,88.87353144436766,72.7735368956743,393
270,3,0.3,88.87353144436766,72.7735368956743,393
270,3,0.4,88.87353144436766,73.2824427480916,393
270,3,0.5,88.87353144436766,73.2824427480916,393
270,4,0.2,88.93499308437067,71.2468193384224,393
270,4,0.3,89.00414937759335,71.7557251908397,393
270,4,0.4,89.00414937759335,72.7735368956743,393
270,4,0.5,89.00414937759335,73.2824427480916,393
270,5,0.2,88.92733564013841,71.50127226463104,393
270,5,0.3,88.99653979238754,72.01017811704835,393
270,5,0.4,89.06574394463668,73.02798982188295,393
270,5,0.5,89.06574394463668,73.53689567430025,393
270,6,0.2,88.78116343490305,70.99236641221374,393
270,6,0.3,88.78116343490305,71.7557251908397,393
270,6,0.4,89.05817174515236,72.51908396946564,393
270,6,0.5,89.05817174515236,73.53689567430025,393
270,7,0.2,88.7040887040887,70.99236641221374,393
270,7,0.3,88.77338877338877,71.50127226463104,393
270,7,0.4,88.98128898128898,72.51908396946564,393
270,7,0.5,89.05058905058905,73.53689567430025,393
270,8,0.2,88.69625520110958,70.73791348600508,393
270,8,0.3,88.76560332871013,71.50127226463104,393
270,8,0.4,88.83495145631069,72.51908396946564,393
270,8,0.5,89.04299583911235,73.53689567430025,393
270,10,0.2,88.61111111111111,70.48346055979644,393
270,10,0.3,88.75,71.50127226463104,393
270,10,0.4,88.81944444444444,72.264631043257,393
270,10,0.5,89.02777777777777,73.53689567430025,393
270,12,0.2,88.5952712100139,70.48346055979644,393
270,12,0.3,88.80389429763561,71.50127226463104,393
270,12,0.4,88.87343532684284,72.264631043257,393
270,12,0.5,89.08205841446454,73.53689567430025,393
270,15,0.2,88.50174216027874,70.48346055979644,393
270,15,0.3,88.78048780487805,71.50127226463104,393
270,15,0.4,88.85017421602788,72.264631043257,393
270,15,0.5,89.05923344947735,73.53689567430025,393
360,3,0.2,95.62569213732004,93.67088607594937,395
360,3,0.3,95.62569213732004,93.67088607594937,395
360,3,0.4,95.62569213732004,93.41772151898734,395
360,3,0.5,95.62569213732004,93.41772151898734,395
360,4,0.2,95.5703211517165,93.67088607594937,395
360,4,0.3,95.62569213732004,93.67088607594937,395
360,4,0.4,95.62569213732004,93.41772151898734,395
360,4,0.5,95.62569213732004,93.41772151898734,395
360,5,0.2,95.5703211517165,93.67088607594937,395
360,5,0.3,95.5703211517165,93.67088607594937,395
360,5,0.4,95.62569213732004,93.67088607594937,395
360,5,0.5,95.62569213732004,93.41772151898734,395
